,NAMOBJ,ketinggian(m)
0,Babatan,170.3839955232233
1,Babulang,303.3600721045516
2,Agom,14.2667086217747
3,Mekar Jaya,187.8508765548847
4,Negeri Pandan,70.35497254423429
5,Mulyosari,23.38031003130124
6,Marga Agung,70.8246159157604
7,Marga Jasa,29.131353665061532
8,Mekar Mulya,8.879073344227626
9,Munjuk Sampurna,45.13164049448714
10,Mekar Sari,30.665512843869557
11,Marga Kaya,72.40477350219192
12,Natar,113.41586944288126
13,Neglasari,90.40417492281462
14,Margacatur,24.16164658634538
15,Margasari,9.153097345132743
16,Merak Batin,103.93066223790741
17,Margo Lestari,64.45656685443225
18,Merak Belatung,28.018248581284077
19,Merbau Mataram,109.53159994851332
20,Negara Ratu,110.61587552422051
21,Margo Mulyo,57.93390002537427
22,Margodadi,66.91117424242424
23,Padan,598.7364309627676
24,Margorejo,52.876978146194425
25,Muara Putih,95.44986381199722
26,Sukaratu,95.36678200692042
27,Suka Banjar,75.14423627002289
28,Sukatani,15.18927049385811
29,Sri Katon,89.163675429727
30,Suka Baru,310.66797038692556
31,Sukajaya,130.9939393939394
32,Suka Damai,53.86867364746946
33,Sukajaya,85.65102040816326
34,Sukamaju,56.672290388548056
35,Sukamaju,18.40316515198997
36,Sinar Ogan,91.55899856351324
37,Sinar Palembang,28.21152240467576
38,Sinar Pasemah,8.995136862581631
39,Sukamarga,53.335443037974684
40,Sinar Rejeki,46.21650699318613
41,Sukamulya,31.52917505030181
42,Sukanegara,89.69972572682391
43,Sindang Sari,71.11954872336214
44,Sukapura,1.9493925188940975
45,Sukaraja,28.129175752289576
46,Sukaraja,380.5191397849462
47,Siring Jaha,64.76075487012987
48,Sukabakti,28.359451862262826
49,Sripendowo,32.516400220507165
50,Suak,28.678112609040443
51,Suban,108.14574898785425
52,Sidoluhur,139.5122113676732
53,Rejomulyo,88.53136699844762
54,Rejomulyo,65.25624008079642
55,Rejosari,94.91471274245028
56,Sidomakmur,25.71761615498276
57,Sinar Karya,45.256378344741755
58,Sidomekar,149.46449536072714
59,Sidomukti,46.076938549733484
60,Sidomulyo,31.172494172494172
61,Serdang,94.77741151977793
62,Ruang Tengah,68.53011192041215
63,Ruguk,41.246164471412364
64,Rulung Helok,54.18973198500813
65,Rulung Mulya,42.433561425843415
66,Rulung Raya,60.39081481481482
67,Rulung Sari,70.84803782505911
68,Sidorejo,38.36514886164623
69,Rangai Tri Tunggal,
70,Sabah Balau,111.46696947047663
71,Sidoreno,18.441613298814552
72,Sidosari,97.06093557652852
73,Sido Asri,21.73944673111898
74,Rantau Minyak,37.942646833307776
75,Sidowaluyo,25.516059279573863
76,Sidoasih,3.569997216810465
77,Sidodadi,41.28493050475494
78,Rawa Selapan,6.763013095631122
79,Sidodadi Asri,45.22709418105417
80,Sidoharjo,39.72235728872897
81,Rejo Mulyo,18.846818538884524
82,Sidoharjo,22.59565543071161
83,Seloretno,47.68036529680365
84,Semanak,168.45907279971024
85,Triharjo,103.93008910212474
86,Way Muli,443.01682785299806
87,Trimomukti,8.833027158532348
88,Trimulyo,57.98109802431611
89,Wawasan,43.791203631241196
90,Titiwangi,22.596641088750545
91,Way Galih,81.559700940114
92,Way Gelam,21.87808115282518
93,Toto Harjo,103.85467289719627
94,Way Hui,103.08613066972327
95,Trans Tanjungan,78.97867861750527
96,Tri Dharma Yoga,16.622788203753352
97,Way Kalam,535.6914754488171
98,Wonodadi,56.716981132075475
99,Wai Muli Timur,457.53904555314534
100,Wai Sari,79.79324831207802
101,Wai Sidomukti,3.8160390916930154
102,Tanjung Sari,107.6566034024978
103,Tanjung Sari,39.16901653611836
104,Sumber Sari,30.155465683359104
105,Tetaan,60.404468825260906
106,Tanjung Baru,143.85578831312017
107,Sumur,50.539779852305976
108,Sumur Kumbang,277.0352805089647
109,Tanjung Gading,285.8747178329571
110,Tanjungan,110.07289002557545
111,Tanjung Harapan,38.14953016478279
112,Tanjung Heran,322.4253807106599
113,Sumber Agung,14.053755674783327
114,Tarahan,59.95825089038385
115,Sumber Agung,38.213086074177745
116,Tanjung Jaya,12.641148325358852
117,Tajimalela,50.87312623588697
118,Talang Baru,68.92970975440758
119,Talang Jawa,60.12439489511515
120,Tejang Pulau Sebesi,145.5056766279525
121,Sumber Jaya,54.130511076990565
122,Talang Way Sulan,30.258156338953363
123,Taman Agung,27.57426516572858
124,Taman Baru,141.70222563315426
125,Tanjung Ratu,58.15804503020318
126,Taman Sari,16.546516567544604
127,Sumber Nadi,12.302113702623906
128,Tengkujuh,301.41580578512395
129,Tanjung Agung,120.66456117021276
130,Galih Lunik,97.7069147069147
131,Gandri,39.169330289193304
132,Bumi Restu,10.453869047619047
133,Bumi Sari,106.52095808383234
134,Gayam,85.20176630434783
135,Cinta Mulya,22.053558145301263
136,Bumi Daya,19.57441975308642
137,Cugung,474.4912684705431
138,Gedung Agung,57.56652982371408
139,Bumi Jaya,16.882415706359367
140,Gedung Harapan,68.36159799681312
141,Gedung Harta,276.52792761440753
142,Campang Tiga,75.801432246402
143,Candi Mas,87.06323849135079
144,Canggu,43.59744444444444
145,Canggung,156.43707354056104
146,Canti,411.90193595078705
147,Fajar Baru,92.4909634461204
148,Baru Ranji,208.6702685421995
149,Batu Agung,43.45316622691293
150,Bumi Asih,14.56328125
151,Bumi Asri,8.91
152,Batu Balak,35.57786885245902
153,Bakauheni,59.58263272385208
154,Baktirasa,14.169108669108669
155,Bangun Sari,34.25673930589185
156,Bangunan,24.520765681080157
157,Bangunrejo,22.087321922722147
158,Banjar Agung,77.85415003990423
159,Batuliman Indah,65.38582909385829
160,Bali Agung,7.102504368083867
161,Bali Nuraga,14.48900462962963
162,Belambangan,93.93821292775665
163,Branti Raya,80.09428303655108
164,Bandan Hurip,2.0836181119179837
165,Bandar Agung,1.7251276124434172
166,Buah Berak,107.754446356856
167,Budi Lestari,57.9649949311229
168,Bandar Dalam,104.14273113623607
169,Banjar Masin,118.5669191919192
170,Budidaya,71.92597038815526
171,Banjar Negeri,75.59671015314804
172,Beringin Kencana,15.256374243733795
173,Bulok,71.98179218303146
174,Berundung,2.330148676936289
175,Betung,219.20420070011667
176,Bandarejo,59.09495073891625
177,Banding,272.01814058956916
178,Banjar Suri,78.7544059845315
179,Banjarsari,20.394544568923525
180,Banyumas,13.84784801613988
181,Maja,104.43488943488944
182,Kekiling,76.64660897564903
183,Kota Dalam,57.89676665368134
184,Malangsari,30.377623914715905
185,Kelau,56.69953775038521
186,Kelawi,114.19607710973308
187,Mandah,68.2830062741957
188,Mandala Sari,14.48433734939759
189,Karya Tunggal,104.79352865739371
190,Kota Guring,478.13879957127546
191,Kemukus,29.18237005185279
192,Kerinjing,206.16213544241225
193,Kecapi,254.26714801444044
194,Kertosari,39.82154961400866
195,Kesugihan,81.43480603448276
196,Krawang Sari,89.63970276008493
197,Lebung Nala,13.130434782608695
198,Lebung Sari,41.96523373267559
199,Legundi,29.033710614866933
200,Ketapang,20.976159793814432
201,Kuala Sekampung,2.223628163367577
202,Kedaton,27.19404827207899
203,Kunjir,340.8489814672997
204,Lematang,93.50314526275041
205,Kedaung,14.534197842552215
206,Kuripan,52.273132664437014
207,Klaten,56.52442211055276
208,Kampung Baru,191.69583333333333
209,Karya Mulya Sari,26.771589423946917
210,Gunung Terang,15.93208430913349
211,Jati Baru,89.96744316587146
212,Jati Indah,93.7824002739257
213,Jati Mulyo,89.68214702450409
214,Karang Anyar,81.79121578612349
215,Karang Jaya,168.6274699153172
216,Karang Pucung,26.336030750556343
217,Haduyang,75.97919010123735
218,Jondong,455.2145512480085
219,Karang Raja,115.01583040177745
220,Karang Rejo,48.47710817717206
221,Hajimena,118.89919612096466
222,Karang Sari,100.76720841300191
223,Karang Sari,56.603434343434344
224,Hara Banjar Manis,32.132731463695734
225,Kali Sari,104.13614944463144
226,Kaliasin,118.78798297314997
227,Hargo Pancuran,110.45335085413929
228,Kalirejo,14.969150025601639
229,Hatta,151.37993421052633
230,Purwosari,54.095656417764765
231,Pisang,81.75395778364116
232,Purwotani,36.23924567654471
233,Pardasuka,130.68660506835252
234,Pemanggilan,118.706636994371
235,Pematang,276.8984321745058
236,Pematang Baru,19.544808617923447
237,Rajabasa,375.6001914486279
238,Pematang Pasir,5.0
239,Puji Rahayu,38.39063144861742
240,Penengahan,80.56241956241956
241,Pulau Jaya,4.24250859669232
242,Pulau Tengah,2.7024925680311
243,Palas Aji,10.687990196078431
244,Palas Jaya,3.075303782303611
245,Palas Pasemah,6.5984902099551785
246,Palembapang,104.07167585587896
247,Pamulihan,27.6898692086012
248,Pasuruan,89.56493902439024
249,Pauh Tanjung Iman,318.4606826801517
250,Purwodadi,19.475135923617557
251,Panca Tunggal,83.54705968189114
252,Pancasila,69.51419273187489
253,Purwodadi Dalam,77.04485141379456
254,Purwodadi Simpang,60.55335673213352
255,Rawi,88.38717483363581
